iter	Passed	Remaining
0	56	56653
1	57	28501
2	57	19119
3	57	14411
4	58	11627
5	59	9782
6	59	8428
7	59	7414
8	60	6624
9	60	5992
10	60	5473
11	61	5040
12	61	4675
13	61	4361
14	62	4089
15	62	3851
16	62	3640
17	63	3454
18	63	3287
19	64	3136
20	64	3000
21	64	2875
22	64	2761
23	65	2656
24	65	2559
25	65	2470
26	66	2387
27	66	2310
28	66	2239
29	67	2176
30	67	2114
31	67	2056
32	68	2001
33	68	1950
34	68	1902
35	69	1857
36	69	1814
37	70	1775
38	70	1735
39	70	1698
40	71	1663
41	71	1628
42	71	1596
43	72	1565
44	72	1535
45	72	1507
46	73	1482
47	73	1456
48	73	1430
49	74	1406
50	74	1383
51	74	1360
52	74	1339
53	75	1318
54	75	1298
55	75	1279
56	76	1260
57	76	1242
58	76	1224
59	77	1207
60	77	1190
61	77	1174
62	77	1159
63	78	1144
64	78	1129
65	78	1115
66	79	1102
67	79	1088
68	79	1075
69	80	1062
70	80	1050
71	80	1038
72	80	1027
73	81	1016
74	81	1005
75	81	994
76	82	983
77	82	974
78	82	965
79	83	955
80	83	946
81	83	936
82	83	925
83	84	918
84	84	910
85	85	904
86	85	897
87	85	890
88	86	882
89	86	875
90	86	867
91	87	860
92	87	852
93	87	846
94	88	838
95	88	831
96	88	824
97	88	818
98	89	811
99	89	805
100	89	798
101	89	792
102	90	785
103	90	779
104	90	773
105	91	768
106	91	762
107	91	756
108	91	751
109	92	745
110	92	740
111	92	735
112	93	730
113	93	724
114	93	719
115	93	715
116	94	709
117	94	704
118	94	700
119	94	695
120	95	690
121	95	685
122	95	681
123	95	677
124	96	672
125	96	668
126	96	663
127	96	659
128	97	655
129	97	651
130	97	648
131	98	644
132	98	641
133	98	637
134	98	634
135	99	630
136	99	626
137	99	623
138	100	620
139	100	616
140	100	613
141	100	608
142	101	605
143	101	602
144	101	599
145	101	595
146	102	592
147	102	589
148	102	586
149	102	583
150	103	580
151	103	577
152	103	574
153	104	571
154	104	568
155	104	565
156	104	562
157	105	560
158	105	557
159	105	554
160	105	551
161	106	548
162	106	545
163	106	543
164	106	540
165	107	538
166	107	535
167	107	533
168	108	531
169	108	529
170	108	526
171	108	524
172	109	522
173	109	519
174	109	517
175	110	515
176	110	513
177	110	510
178	110	508
179	111	506
180	111	504
181	111	502
182	112	500
183	112	498
184	112	495
185	112	493
186	113	491
187	113	490
188	113	488
189	114	486
190	114	484
191	114	483
192	115	481
193	115	479
194	115	477
195	115	475
196	116	473
197	116	471
198	116	469
199	116	467
200	117	466
201	117	464
202	117	462
203	118	460
204	118	459
205	118	457
206	118	455
207	119	454
208	119	452
209	119	450
210	120	448
211	120	447
212	120	445
213	120	444
214	121	442
215	121	440
216	121	439
217	122	437
218	122	436
219	122	434
220	122	432
221	123	431
222	123	429
223	123	428
224	123	426
225	124	425
226	124	423
227	124	422
228	125	420
229	125	419
230	125	417
231	125	416
232	126	415
233	126	413
234	126	412
235	126	410
236	127	409
237	127	408
238	127	406
239	128	405
240	128	403
241	128	402
242	128	401
243	129	400
244	129	398
245	129	397
246	129	396
247	130	395
248	130	393
249	130	392
250	131	391
251	131	389
252	131	388
253	131	387
254	132	386
255	132	385
256	133	384
257	133	383
258	133	382
259	133	380
260	134	379
261	134	378
262	134	377
263	134	376
264	135	375
265	135	373
266	135	372
267	136	371
268	136	370
269	136	369
270	136	368
271	137	366
272	137	366
273	137	365
274	138	364
275	138	363
276	138	362
277	138	360
278	139	359
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	142	349
289	142	348
290	142	347
291	142	346
292	143	345
293	143	344
294	143	343
295	144	342
296	144	341
297	144	340
298	144	339
299	145	338
300	145	337
301	145	336
302	146	335
303	146	334
304	146	333
305	146	333
306	147	332
307	147	331
308	147	330
309	147	329
310	148	328
311	148	327
312	148	326
313	148	325
314	149	324
315	149	323
316	149	322
317	150	321
318	150	321
319	150	320
320	150	319
321	151	318
322	151	317
323	151	316
324	152	315
325	152	315
326	152	314
327	152	313
328	153	312
329	153	311
330	153	310
331	154	309
332	154	309
333	154	308
334	154	307
335	155	306
336	155	305
337	155	304
338	155	303
339	156	303
340	156	302
341	156	301
342	157	300
343	157	299
344	157	299
345	157	298
346	158	297
347	158	296
348	158	296
349	158	295
350	159	294
351	159	293
352	159	292
353	160	292
354	160	291
355	160	290
356	160	289
357	161	288
358	161	288
359	161	287
360	161	286
361	162	285
362	162	285
363	162	284
364	163	283
365	163	282
366	163	282
367	163	281
368	164	280
369	164	279
370	164	279
371	164	278
372	165	277
373	165	276
374	165	276
375	166	275
376	166	274
377	166	274
378	166	273
379	167	272
380	167	272
381	167	271
382	168	270
383	168	270
384	168	269
385	168	268
386	169	267
387	169	267
388	169	266
389	170	265
390	170	265
391	170	264
392	170	263
393	171	263
394	171	262
395	171	261
396	171	261
397	172	260
398	172	259
399	172	259
400	173	258
401	173	257
402	173	257
403	173	256
404	174	255
405	174	255
406	174	254
407	175	253
408	175	253
409	175	253
410	176	252
411	176	251
412	176	251
413	176	250
414	177	249
415	177	249
416	177	248
417	178	247
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	179	244
424	179	243
425	180	242
426	180	242
427	180	241
428	181	240
429	181	240
430	181	239
431	181	239
432	182	238
433	182	237
434	182	237
435	182	236
436	183	236
437	183	235
438	183	234
439	184	234
440	184	233
441	184	233
442	184	232
443	185	231
444	185	231
445	185	230
446	186	230
447	186	229
448	186	228
449	186	228
450	187	227
451	187	227
452	187	226
453	187	226
454	188	225
455	188	224
456	188	224
457	189	223
458	189	223
459	189	222
460	189	222
461	190	221
462	190	220
463	190	220
464	190	219
465	191	219
466	191	218
467	191	218
468	192	217
469	192	216
470	192	216
471	192	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	210
481	195	210
482	196	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	198	204
493	199	203
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	200	200
500	201	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	202	196
508	203	196
509	203	195
510	203	194
511	204	194
512	204	193
513	204	193
